command,action,object
"can you go to desk b",move to,desk b
"now move to your next location which is r-desk",move to,r-desk
"navigate to r-desk",move to,r-desk
"move towards r-desk",move to,r-desk
"please proceed to desk a",move to,desk a
"move forward to desk a",move to,desk a
"your destination is desk a",move to,desk a
"navigate to chair",move to,chair
"your destination is desk a",move to,desk a
"from here you should move to bookshelf b which is your destination",move to,bookshelf b
"navigate to bookshelf c",move to,bookshelf c
"your destination is desk a",move to,desk a
"make your way to bookshelf a",move to,bookshelf a
"from here you should move to chair which is your destination",move to,chair
"walk to r-desk",move to,r-desk
"go to desk b now",move to,desk b
"move to bookshelf a",move to,bookshelf a
"move towards desk a",move to,desk a
"from here you should move to bookshelf c which is your destination",move to,bookshelf c
"make your way to r-desk",move to,r-desk
"you need to go to bookshelf a",move to,bookshelf a
"navigate to desk b",move to,desk b
"move forward to chair",move to,chair
"your destination is bookshelf b",move to,bookshelf b
"proceed to desk b",move to,desk b
"make your way to bookshelf c",move to,bookshelf c
"you need to go to r-desk",move to,r-desk
"can you go to desk a",move to,desk a
"move towards desk b",move to,desk b
"navigate to bookshelf a",move to,bookshelf a
"move towards bookshelf b",move to,bookshelf b
"move towards bookshelf c",move to,bookshelf c
"move towards chair",move to,chair
"you need to go to bookshelf c",move to,bookshelf c
"move towards r-desk",move to,r-desk
"please proceed to desk a",move to,desk a
"your destination is bookshelf b",move to,bookshelf b
"head over to bookshelf a",move to,bookshelf a
"from here you should move to bookshelf a which is your destination",move to,bookshelf a
"please proceed to bookshelf b",move to,bookshelf b
"your destination is bookshelf a",move to,bookshelf a
"relocate to bookshelf b",move to,bookshelf b
"make your way to desk b",move to,desk b
"make your way to desk b",move to,desk b
"move towards bookshelf c",move to,bookshelf c
"move towards bookshelf a",move to,bookshelf a
"relocate to r-desk",move to,r-desk
"your destination is desk b",move to,desk b
"now move to your next location which is bookshelf a",move to,bookshelf a
"navigate to desk a",move to,desk a
"walk to bookshelf a",move to,bookshelf a
"proceed to desk b",move to,desk b
"your next stop is r-desk",move to,r-desk
"you need to go to chair",move to,chair
"you need to go to desk a",move to,desk a
"please proceed to desk a",move to,desk a
"proceed to desk b",move to,desk b
"your next stop is r-desk",move to,r-desk
"move forward to chair",move to,chair
"your next stop is desk b",move to,desk b
"proceed to bookshelf c",move to,bookshelf c
"please proceed to desk b",move to,desk b
